label;group;color;region_name;hemisphere
2005;non-RichClub;#7f7f7f;ctx-rh-cuneus;right
2006;non-RichClub;#7f7f7f;ctx-rh-entorhinal;right
2007;non-RichClub;#7f7f7f;ctx-rh-fusiform;right
2008;non-RichClub;#7f7f7f;ctx-rh-inferiorparietal;right
2009;non-RichClub;#7f7f7f;ctx-rh-inferiortemporal;right
2010;Cingulate;#ff7f0e;ctx-rh-isthmuscingulate;right
2011;non-RichClub;#7f7f7f;ctx-rh-lateraloccipital;right
2012;non-RichClub;#7f7f7f;ctx-rh-lateralorbitofrontal;right
2013;non-RichClub;#7f7f7f;ctx-rh-lingual;right
2014;non-RichClub;#7f7f7f;ctx-rh-medialorbitofrontal;right
2015;non-RichClub;#7f7f7f;ctx-rh-middletemporal;right
2016;non-RichClub;#7f7f7f;ctx-rh-parahippocampal;right
2017;Paracentral;#17becf;ctx-rh-paracentral;right
2018;non-RichClub;#7f7f7f;ctx-rh-parsopercularis;right
2019;non-RichClub;#7f7f7f;ctx-rh-parsorbitalis;right
2020;non-RichClub;#7f7f7f;ctx-rh-parstriangularis;right
2021;non-RichClub;#7f7f7f;ctx-rh-pericalcarine;right
2022;non-RichClub;#7f7f7f;ctx-rh-postcentral;right
2023;Cingulate;#ff7f0e;ctx-rh-posteriorcingulate;right
2024;non-RichClub;#7f7f7f;ctx-rh-precentral;right
2025;precuneus;#9467bd;ctx-rh-precuneus;right
2026;Cingulate;#ff7f0e;ctx-rh-rostralanteriorcingulate;right
2027;non-RichClub;#7f7f7f;ctx-rh-rostralmiddlefrontal;right
2028;Superior frontal Cortex; #dbdb8d;ctx-rh-superiorfrontal;right
2029;superiorParietal;#e377c2;ctx-rh-superiorparietal;right
2030;non-RichClub;#7f7f7f;ctx-rh-superiortemporal;right
2031;non-RichClub;#7f7f7f;ctx-rh-supramarginal;right
2032;non-RichClub;#7f7f7f;ctx-rh-frontalpole;right
2033;non-RichClub;#7f7f7f;ctx-rh-temporalpole;right
2034;non-RichClub;#7f7f7f;ctx-rh-transversetemporal;right
2035;non-RichClub;#7f7f7f;ctx-rh-insula;right
